REF_ID,PUB_TYPE,Referece
REF0001,Article,"Cullen, L., Bodmer, R. E., and Pdua, C. V. 2000. Effects of hunting in habitat fragments of the Atlantic forests, Brazil. Biological conservation, 95:49-56.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0002,Article,"So Bernardo, C. S., and Galetti, M. 2004. Density and population size of primates in a forest fragment in southeastern Brazil. Revista Brasileira de Zoologia, 21:827-832.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0003,Article,"Chiarello, A. G. 1999. Effects of fragmentation of the Atlantic forest on mammal communities in south-eastern Brazil. Biological Conservation, 89:71-82.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0005,Article,"Chiarello, A. G. 2000. Conservation value of a native forest fragment in a region of extensive agriculture. Revista Brasileira de Biologia, 60:237-247.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0006,Article,"Galetti, M., Brocardo, C. R., Begotti, R. A., Hortenci, L., Rocha-Mendes, F., Bernardo, C. S. S., Bueno, R. S., Nobre, R., Bovendorp, R. S., Marques, R. M., Meirelles, F., Gobbo, S. K., Beca, G., Schmaedecke, G. and Siqueira, T. 2017. Defaunation and biomass collapse of mammals in the largest Atlantic forest remnant. Animal Conservation, 20: 270–281. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0007,Article,"Martins, M. M. 2005. Density of primates in four semi-deciduous forest fragments of So Paulo, Brazil. Biodiversity and Conservation. 14: 2321-2329.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0008,Article,"Negro, M. D. F. F., and Valladares-Pdua, C. 2006. Registros de mamferos de maior porte na Reserva Florestal do Morro Grande, So Paulo. Biota Neotropica. 6:1-13.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0011,Article,"Arajo, R. M. D., Souza, M. B. D., and Ruiz-Miranda, C. R. 2008. Densidade e tamanho populacional de mamferos cinegéticos em duas Unidades de Conservao do Estado do Rio de Janeiro, Brasil. Iheringia, Série Zoologia. 98:391-396.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0012,Article,"Penido, G., and Zanzini, A. C. Sd. 2012. Checklist of large and medium-sized mammals of the Estao Ecolgica Mata do Cedro, an Atlantic forest remnant of central Minas Gerais, Brazil. Check List. 8:712-717.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0013,Article,"Eduardo, A. A., and Passamani, M. 2009. Mammals of medium and large size in Santa Rita do Sapuca, Minas Gerais, southeastern Brazil. Check List. 5:399-404.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0014,Article,"de Souza Fialho, M., and Fernandes Gonalves, G. 2008. Primates Da Rppn Garga, Paraba, Brasil. Neotropical Primates. 15: 50-54.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0016,Article,"Abreu Jnior, E. Fd., and Köhler, A. 2009. Mastofauna de médio e grande porte na RPPN da UNISC, RS, Brasil. Biota neotropica. 9:169-174.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0017,Article,"Pires, D. P. D. S., and Cademartori, C. V. 2012. Medium and large sized mammals of a semideciduous forest remnant in southern Brazil. Biota Neotropica. 12:239-245.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0018,Article,"Bicca-Marques, J. C., Prates, H. M., de Aguiar, F. R. C., and Jones, C. B. 2008. Survey of Alouatta caraya, the black-and-gold howler monkey, and Alouatta guariba clamitans, the brown howler monkey, in a contact zone, State of Rio Grande do Sul, Brazil: evidence for hybridization. Primates. 49:246-252.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0019,Article,"Fialho, M. D. S., Valena-Montenegro, M. M., Silva, T. C. F. D., Ferreira, J. G., and Laroque, P. D. O. 2014. Ocorrncia de Sapajus flavius e Alouatta belzebul no Centro de Endemismo Pernambuco. Neotropical Primates. 21:214-218.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0021,Article,"Costa, M. D., Fernandes, F. A. B., Hilrio, R. R., Gonalves, A. V., and de Souza, J. M. 2012. Density, population size and primate conservation in Atlantic forest fragments in the south region of Minas Gerais, Brazil. Iheringia, Série Zoologia. 102:5-10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0157,Article,"Milton, K. 1984. Habitat, diet, and activity patterns of free-ranging woolly spider monkeys (Brachyteles arachnoides E. Geoffroy 1806). International Journal of Primatology. 5: 491-514.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0164,Article,"Hill, K., Padwe, J., Bejyvagi, C., Bepurangi, A., Jakugi, F., Tykuarangi, R., and Tykuarangi, T. 1997. Impact of hunting on large vertebrates in the Mbaracayu Reserve, Paraguay. Conservation Biology. 11: 1339-1353.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0165,Article,"de Carvalho, W. D., de Macedo Godoy, M. S. A., Adania, C. H., and Esbérard, C. E. L. 2013. Assembleia de mamferos no voadores da reserva biolgica serra do Japi, Jundia, So Paulo, sudeste do Brasil. Bioscience Journal. 29: 1370-1387.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0166,Article,"Cäsar, C., and Young, R. J. 2008. A case of adoption in a wild group of black-fronted titi monkeys (Callicebus nigrifrons). Primates. 49: 146-148.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0167,Article,"Martins, W. P., de Oliveira Guimares, V., and Strier, K. B. 2007. A case of infant swapping by wild northern muriquis (Brachyteles hypoxanthus). Primates. 48: 324-326.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0168,Article,"Izar, P., Ramos-da-Silva, E. D., de-Resende, B. D., and Ottoni, E. B. 2007. A case of infanticide in tufted capuchin monkeys (Cebus nigritus). Mastozoologia Neotropical. 14: 73-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0170,Article,"Vasconcelos, M. F., and Hirsch, A. 2000. A new locality for the masked titi monkey, Callicebus personatus nigrifrons, in a protected area in Minas Gerais, Brazil. Neotropical Primates. 8: 153-154.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0171,Article,"Kowalewski, M., Alvarez, C., Pereyra, D., Violi, E., and Zunino, G. 2002. A Preliminary study of positional behavior in Alouatta caraya in northern Argentina. American Journal of Physical Anthropology. 97-97.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0172,Article,"Vleeschouwer, K., Santos, J. S., Leus, K., and Elsacker, L. V. 2005. A sighting of muriquis (Brachytheles) in Una Biological Reserve, Bahia, Brazil. Neotropical primates. 12: 96-97.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0173,Article,"Norris, D., Ramrez, J. M., Zacchi, C., and Galetti, M. 2012. A survey of mid and large bodied mammals in Ncleo Caraguatatuba, Serra do Mar State Park, Brazil. Biota Neotropica. 12: 127-133.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0174,Article,"Hankerson, S., Pitts, M., Dietz, J., and Raboy, B. 2007. A test of exploitative and interference competition in wild golden-headed lion tamarins (Leontopithecus chrysomelas). American Journal of Primatology. 69: 57-57.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0175,Article,"Genty, E., and Cäsar, C. 2014. Abduction and potential case of predation of an infant howler monkey (Alouatta guariba clamitans) by a tufted capuchin monkey (Sapajus nigritus). Mammalia. 78: 401-404.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
