reference_number,reference_type,citation
1001,a,Dal Vechio et al. 2016
1002,a,Borges-Leite et al. 2014
1003,b,Borges-Nojosa 2007
1004,b,Carvalho-e-Silva et al. 2015
1005,t,Loebmann 2010
1006,a,Lion et al. 2014
1007,t,Albuquerque 2016
1008,t,Alves 2014
1009,t,Arzabe 1998
1010,a,Barbosa and Alves 2014
1011,a,Leite-Filho et al. 2017
1012,a,Santana et al. 2008
1013,a,Albertim et al. 2010
1014,t,Amorim 2009
1015,t,Andrade 2012
1016,a,Andrade et al. 2014
1017,a,Barbosa et al. 2017
1018,b,Buarque Jr. and Moura 2011
1019,b,Lima et al. 2011
1020,b,Pereira et al. 2016a
1021,a,Roberto et al. 2017
1022,t,Santos 2009
1023,b,Santos 2011
1024,b,Santos and Moura 2012
1025,b,Silva and Moura 2011
1026,b,Chaves et al. 2015
1027,a,Palmeira and Gonalves 2015
1028,t,Queissada 2009
1029,a,Valncia-Aguilar et al. 2016
1030,b,Carvalho et al. 2005
1031,a,Morato et al. 2011
1032,a,Oliveira and Lrio Jr. 2000
1033,t,Silva 2014
1034,a,Bastazini et al. 2007
1035,a,Camurugi et al. 2010
1036,a,Coelho and Oliveira 2010
1037,a,Dias et al. 2014a
1038,a,Dias et al. 2014b
1039,a,Faria et al. 2007
1040,b,Freitas 2005
1041,a,Gondim-Silva et al. 2016
1042,t,Herrera 2011
1043,a,Junc 2006
1044,a,Magalhes et al. 2015
1045,t,Matos 2012
1046,t,Nery 2014
1047,t,Oliveira 2013
1048,a,Rocha et al. 2008
1049,a,Silva et al. 2013
1050,b,Silvano and Pimenta 2003
1051,a,Valdujo et al. 2009
1052,a,Xavier and Napoli 2011
1053,t,Guimarães 2006
1054,a,Morais et al. 2011
1055,a,Afonso and Eterovick 2007
1056,t,Assis 2009
1057,a,Barata et al. 2016
1058,a,Bertoluci et al. 2009
1059,a,Canelas and Bertoluci 2007
1060,t,Cardoso 1986
1061,t,Carossini 2013
1062,t,Cerezoli 2008
1063,a,Conte et al. 2013
1064,t,Correia 2015
1065,b,Cruz et al. 2009
1066,a,D'Anunciao et al. 2013
1067,t,Dayrell 2009
1068,t,Drummond 2009
1069,t,Eterovick 1998
1070,a,Eterovick 2003
1071,b,Eterovick and Sazima 2004
1072,b,Feio et al. 1998
1073,b,Feio et al. 2006
1074,a,Feio and Ferreira 2005
1075,t,Ferrante 2017
1076,a,Garey and Da Silva 2010
1077,b,Garey et al. 2014a
1078,a,Gomides and Souza 2012
1079,a,Grandinetti and Jacobi 2005
1080,a,Kopp and Eterovick 2006
1081,b,Leite and Guilherme 2008
1082,a,Linares and Eterovick 2013
1083,t,Magalhães 2012
1084,t,Magalhães 2015
1085,a,Mascarenhas et al. 2015
1086,t,Monteiro-Leonel 2004
1087,a,Moura et al. 2012
1088,a,Nascimento et al. 1994
1089,a,Neves et al. 2017
1090,t,Papp 1997
1091,a,Pereira et al. 2016b
1092,a,Pirani et al. 2013
1093,t,Rievers 2010
1094,a,Santana et al. 2010
1095,t,Santos 2003
1096,t,Santos 2013a
1097,a,So-Pedro and Feio 2011
1098,t,Sierra-Ramirez 1998
1099,t,Silvano 1999
1100,t,Torres 2012
1101,t,Vilela 2012
1102,a,Campos and Loureno-de-Moraes 2017
1103,t,Dantas 2009
1104,a,Ferreira et al. 2010
1105,a,Ferreira et al. 2012
1106,a,Ferreira et al. 2016
1107,a,Ferreira and Mendes 2010
1108,a,Mnico et al. 2017
1109,a,Montesinos et al. 2012
1110,a,Oliveira et al. 2013a
1111,a,Oliveira et al. 2017
1112,a,Pereira-Ribeiro et al. 2017
1113,a,Pertel et al. 2006
1114,a,Pertel et al. 2010
