ID,Year_start,Year_finish,Duration,Season,Method,Strata_sampling,Nights,hours_per_night,number_of_mistnets,effort_straube_bianconi,Sampling_habitat,Community,Class,Order,Superfamily,Family,Capture_number,Species,Status
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,13,Anoura.caudifer,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Molossidae,0,Cynomops.abrasus,DD
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Glyphonycteris.daviesi,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Macrophyllum.macrophyllum,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,0,Myotis.izecksohni,NA
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Phyllostomus.elongatus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,22,Tonatia.bidens,DD
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,3,Desmodus.rotundus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,0,Histiotus.montanus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,33,Artibeus.fimbriatus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Diaemus.youngii,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,0,Histiotus.velatus,DD
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Micronycteris.microtis,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,18,Myotis.nigricans,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,8,Platyrrhinus.lineatus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Trinycteris.nicefori,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,104,Artibeus.obscurus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,0,Eptesicus.brasiliensis,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,0,Lasiurus.cinereus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Micronycteris.sp.,NA
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Natalidae,0,Natalus.macrourus,NT
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Pygoderma.bilabiatum,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,2,Vampyressa.pusilla,DD
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,0,Eptesicus.furinalis,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Carollia.brevicauda,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,0,Eptesicus.taddeii,NA
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Lonchophylla.bokermanni,EN
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Molossidae,0,Molossops.neglectus,DD
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Molossidae,0,Nyctinomops.laticaudatus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Emballonuroidea,Emballonuridae,0,Rhynchonycteris.naso,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Molossidae,0,Eumops.glaucinus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Lonchophylla.peracchii,NA
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Emballonuroidea,Emballonuridae,0,Centronycteris.maximiliani,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Molossidae,0,Eumops.patagonicus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Lonchophylla.sp.,NA
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Molossidae,0,Molossus.rufus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Emballonuroidea,Emballonuridae,0,Peropteryx.leucoptera,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,34,Sturnira.lilium,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Chiroderma.villosum,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Furipteridae,0,Furipterus.horrens,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,1,Chrotopterus.auritus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,2,Glossophaga.soricina,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Lophostoma.silvicolum,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,0,Myotis.dinellii,NA
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Phyllostomus.discolor,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Thyropteridae,0,Thyroptera.tricolor,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,24,Artibeus.cinereus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Micronycteris.hirsuta,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,0,Myotis.lavali,NA
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Micronycteris.megalotis,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,1,Myotis.levis,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Platyrrhinus.incarum,NA
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,4,Trachops.cirrhosus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Diphylla.ecaudata,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Lampronycteris.brachyotis,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,34,Artibeus.lituratus,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Dryadonycteris.capixaba,NA
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,0,Lasiurus.blossevillii,LC
bat1001,2008,2008,6  months,NA,mist nets,U,21,6,5,8424,Forest trails and surroundings,all,Mammalia,Chiroptera,Noctilionoidea,Phyllostomidae,0,Micronycteris.schmidtorum,LC
