sites_ID,Ref_number,Authors,Type,References,Voucher specimens
bor1001,1,Iserhard and Romanowski,Article,"Iserhard, C. A., Romanowski, H. P. 2004. Lista de espécies de borboletas (Lepidoptera: Papilionoidea & Hesperioidea) da região do vale do Rio Maquiné, Rio Grande do Sul, Brasil. Revista Brasileira de Zoologia 21(3): 649-662","Colecao de referencia do Laboratorio de Ecologia de Insetos, Departamento de zoologia, Universidade federal do Rio Grande do Sul"
bor1001,2,Santos et al,Article,"Santos, J. P., Iserhard, C. A., Teixeira, M. O., Romanowski, H. P. 2011.  Fruit-feeding butterflies guide of subtropical Atlantic Forest and Araucaria Moist Forest in State of Rio Grande do Sul, Brazil. Biota Neotropica, 11(3): 253-274.","Colecao de referencia do Laboratorio de Ecologia de Insetos, Departamento de zoologia, Universidade federal do Rio Grande do Sul"
bor1001,3,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1002,4,Iserhard et al,Article,"Iserhard, C. A., Quadros, M. T., Romanowski, H. P., Mendonca, M. S. 2010. Borboletas (Lepidoptera:Papilionoidea & Hesperioidea) ocorrentes em diferentes ambientes na  Floresta Ombrófila Mista e nos Campos de Cima da Serra do Rio Grande do Sul, Brasil. Biota Neotropica 10(1): 309-320.","Colecao de referencia do Laboratorio de Ecologia de Insetos, Departamento de zoologia, Universidade federal do Rio Grande do Sul"
bor1002,5,Santos et al,Article,"Santos, J. P., Iserhard, C. A., Teixeira, M. O., Romanowski, H. P. 2011.  Fruit-feeding butterflies guide of subtropical Atlantic Forest and Araucaria Moist Forest in State of Rio Grande do Sul, Brazil. Biota Neotropica, 11(3): 253-274.","Colecao de referencia do Laboratorio de Ecologia de Insetos, Departamento de zoologia, Universidade federal do Rio Grande do Sul"
bor1002,6,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1002,7,Richter et al,Thesis,"Richter, A. 2018. Estratificação vertical em borboletas frugivoras: diversidade taxonomica combinada a abordagem funcional e filogenetica em uma regiao de Mata Atlantica subtropical. M. S. Thesis, Universidade Federal de Pelotas","Colecao de referencia do Laboratorio de ecologia de Lepidoptera, Universidade Federal de Pelotas."
bor1003,8,Dessuy and Morais,Article,"Dessuy, M. B., Morais, A. B. B. 2007. Diversidade de borboletas (Lepidoptera: Papilionoidea & Hesperioidea) em fragmentos de Floresta Estacional Decidual em Santa Maria, Rio Grande do Sul, Brasil. Revista Brasileira de Zoologia, 24(1): 108-120.","Colecao de Referencia do Laboratorio de Interacoes Inseto-Planta, Departamento de Biologia, Universidade Federal de Santa Maria, Rio Grande do Sul"
bor1003,9,Spaniol and Morais,Article,"Spaniol, R. L., Morais, A. B. B. 2015. Borboletas frugívoras em área de transição ecológica do sul do Brasil (Lepidoptera: Nymphalidae). SHILAP Revista de Lepidopterologia 43: 27-40.","Colecao de Referencia do Laboratorio de Interacoes Inseto-Planta, Departamento de Biologia, Universidade Federal de Santa Maria, Rio Grande do Sul"
bor1004,10,Mielke 1994,Article,"Mielke, C. G. C. 1994. Papilionoidea e Hesperioidea (Lepidoptera) de Curitiba e seus arredores, Paraná, Brasil, com notas taxonômicas sobre Hesperiidae. Revista Brasileira de Zoologia 11(4): 759-776.",Not informed
bor1004,11,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1005,12,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1006,13,Dolibaina et al,Article,"Dolibaina, D. R., Mielke, O. H. H., Casagrande, M. M. 2011. Borboletas de Guarapuava e arredores, Paraná, Brasil: um inventário com base em 63 anos de registros. Biota Neotropica 11(1): 341-354.","Colecao particular de Hipolito Schneider, Museu de Ciencias Naturais de Guarapuava, Unicentro, Colecao Padre Jesus Santiago Moure, Universidade Federal do Parana"
bor1007,14,Almeida et al,Article,"Almeida, G. S. S., Souza, C. L., Marques, E. E. 1986. Levantamento preliminar das espécies de borboletas (Rhopalocera) de ocorrência em Maringá (PR): I. Papilionoidea. Revista Unimar, 8(1): 29-36.",Not informed
bor1008,15,Garcia-Salik et al,Article,"Garcia-Salik, L. M., Carneiro, E., Dolibaina, D. R., Dias, F. M. S., Ribeiro-Leite, L. A., Casagrande, M. M., Mielke, O. H. H. 2014. Borboletas da Estação Ecológica do Caiuá, Diamante do Norte, Paraná, Brasil (Lepidoptera: Hesperioidea & Papilionoidea). SHILAP Revista de Lepidopterologia 42(166): 265-280.","Colecao Entomologica Padre Jesus Santiago Moure, Universidade Federal do Parana"
bor1008,16,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1009,17,Thiele et al,Article,"Thiele, S. C., Milcharek, O., Santos, F. L., Kaminski, L. A. 2014. Butterflies (Lepidoptera: Hesperioidea and Papilionoidea) of Porto Mauá, Upper Paraná Atlantic Forest Ecoregion, Rio Grande do Sul State, Brazil. Biota Neotropica 14(2): 1-10.","Departamento de Zoologia, Universidade Federal do Rio Grande do Sul, Colecao Padre Jesus Santiago Moure, Universidade Federal do Parana, Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1010,18,Beltrami et al,Article,"Beltrami, L. C. C., Mielke, O. H. H., Casagrande, M. M., Carneiro, E. 2014. The Hesperioidea and Papilionoidea (Lepidoptera) of São Luiz do Purunã, Balsa Nova, Paraná State, Brazil. Tropical Lepidoptera Research 24(1): 30-36.","Colecao Padre Jesus Santiago Moure, Universidade Federal do Parana"
bor1011,19,Graciotim and Morais,Article,"Graciotim, C., Morais, A. B. B. 2016. Borboletas frugívoras em Florestas de Mata Atlântica do Parque Nacional do Iguaçu, Paraná, Brasil (Lepidoptera: Nymphalidae). SHILAP 44(173): 115-128.","Colecao de Referencia do Laboratorio de Interacoes Inseto-Planta, Departamento de Biologia, Universidade Federal de Santa Maria, Rio Grande do Sul, Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1011,20,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1011,21,Greve,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1012,22,Corso and Hernandez,Article,"Corso, G., Hernandez, M. I. M. 2012.  Borboletas frugívoras da Mata Atlântica no Parque Estadual da Serra do Tabuleiro, Santa Catarina, Brasil. Biotemas 25(4): 139-148;","Colecao Entomologica do Centro de Ciencias Biologicas da Universidade Federal de Santa Catarina, Colecao Padre Jesus Santiago Moure, Universidade Federal do Parana"
bor1012,23,Carneiro et al,Article,"Carneiro, E., Mielke, O. H. H., Casagrande, M. M. 2008. Borboletas do sul da ilha de Santa Catarina, Brasil (Lepidoptera: Hesperioidea & Papilionoidea). SHILAP Revista de Lepidopterologia, 36(142): 261-271.","Colecao Padre Jesus Santiago Moure, Universidade Federal do Parana"
bor1013,24,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1013,25,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1014,26,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1014,27,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1015,28,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1016,29,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1017,30,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1018,31,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1018,32,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1019,33,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1019,34,Soares et al,Article,"Soares, A., Bizarro, J. M. S., Bastos, C. B., Tangerini, N., Silva, N. A., Silva, A. S., Silva, G. B. 2011. Preliminary analysis of the diurnal Lepidoptera fauna of the Três Picos State Park, Rio de Janeiro, Brazil, with a note on Parides ascanius (Cramer 1775). Tropical Lepidoptera Research 21(2): 66-79.",Not informed
bor1020,35,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1020,36,Soares et al,Article,"Soares, A., Bizarro, J. M. S., Bastos, C. B., Tangerini, N., Silva, N. A., Silva, A. S., Silva, G. B. 2011. Preliminary analysis of the diurnal Lepidoptera fauna of the Três Picos State Park, Rio de Janeiro, Brazil, with a note on Parides ascanius (Cramer 1775). Tropical Lepidoptera Research 21(2): 66-79.",Not informed
bor1021,37,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1021,38,Soares et al,Article,"Soares, A., Bizarro, J. M. S., Bastos, C. B., Tangerini, N., Silva, N. A., Silva, A. S., Silva, G. B. 2011. Preliminary analysis of the diurnal Lepidoptera fauna of the Três Picos State Park, Rio de Janeiro, Brazil, with a note on Parides ascanius (Cramer 1775). Tropical Lepidoptera Research 21(2): 66-79.",Not informed
bor1022,39,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1023,40,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1023,41,Fiorito,Unpublished data,Personal database,Not informed
bor1023,42,Soares et al,Article,"Soares, A., Bizarro, J. M. S., Bastos, C. B., Tangerini, N., Silva, N. A., Silva, A. S., Silva, G. B. 2011. Preliminary analysis of the diurnal Lepidoptera fauna of the Três Picos State Park, Rio de Janeiro, Brazil, with a note on Parides ascanius (Cramer 1775). Tropical Lepidoptera Research 21(2): 66-79.",Not informed
bor1024,43,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1024,44,Soares et al,Article,"Soares, A., Bizarro, J. M. S., Bastos, C. B., Tangerini, N., Silva, N. A., Silva, A. S., Silva, G. B. 2011. Preliminary analysis of the diurnal Lepidoptera fauna of the Três Picos State Park, Rio de Janeiro, Brazil, with a note on Parides ascanius (Cramer 1775). Tropical Lepidoptera Research 21(2): 66-79.",Not informed
bor1025,45,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1026,46,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1027,47,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1028,48,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1029,49,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1030,50,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1031,51,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1032,52,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1032,53,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1033,54,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1034,55,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1035,56,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1036,57,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1037,58,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1038,59,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1039,60,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
