Reference,publised_year,Species
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Cerdocyon thous
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Cuniculus paca
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Dasypus novemcinctus
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Sapajus nigritus
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Alouatta guariba
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Leopardus wiedii
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Lontra longicaudis
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Eira barbara
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Nasua nasua
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Procyon cancrivorus
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Mazama sp.
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Cuniculus paca
