reference_number,publised_year,reference_type
2,2013,Thesis
3,2000,Article
4,2003,Article
5,1994,Article
6,1996,Thesis
7,2004,Thesis
8,2010,Article
9,2003,Article
10,1991,Article
11,2011,Article
12,2007,Article
13,2002,Article
14,2009,Article
15,2010,Thesis
16,2006,Article
17,2005,Thesis
18,2004,Article
19,2015,Article
20,2004,Article
21,2003,Book
22,2009,Article
23,2007,Article
24,2009,Article
25,2002,Article
26,2004,Article
27,2009,Article
28,2000,Article
29,1999,Thesis
30,2012,Article
31,1995,Article
32,1990,Article
33,2006,Article
34,2010,Article
35,2009,Article
36,2008,Article
37,2010,Thesis
38,2008,Thesis
39,2012,Article
40,2013,Article
41,2014,Article
42,2014,Thesis
43,2013,Article
44,2008,Article
45,2003,Article
46,2013,Article
47,1999,Article
48,2006,Article
49,2007,Article
50,2014,Article
51,2012,Thesis
52,2012,Article
53,2014,Thesis
54,2003,Thesis
55,2013,Thesis
56,2008,Article
57,2004,Article
58,2007,Article
59,2014,Article
60,2014,Article
61,2013,Article
62,2001,Thesis
63,2004,Article
64,2008,Article
65,2010,Article
66,2013,Thesis
67,2009,Article
68,1999,Article
69,2011,Article
70,2010,Article
71,2012,Article
72,2001,Article
73,2012,Article
74,1999,Article
75,2014,Article
76,2013,Article
77,2010,Thesis
78,2007,Article
79,2013,Article
80,2012,Thesis
81,2006,Article
82,2013,Article
83,1998,Article
84,2013,Thesis
85,2011,Thesis
86,2006,Thesis
87,2014,Article
88,1991,Thesis
89,1991,Book
90,2002,Article
91,2013,Article
92,2008,Thesis
93,2005,Thesis
94,1945,Article
95,2013,Article
96,2004,Article
97,2005,Thesis
98,2008,Article
99,2011,Article
100,2007,Thesis
101,2005,Book
102,2007,Thesis
103,2000,Article
104,2007,Thesis
105,2012,Thesis
106,2002,Thesis
107,2007,Thesis
108,2006,Thesis
109,2006,Thesis
110,2002,Thesis
111,1996,Thesis
112,1999,Thesis
113,2009,Article
114,2005,Article
115,2005,Article
116,2013,Article
117,1996,Thesis
118,1997,Article
119,2002,Article
120,2006,Article
121,2008,Article
122,2008,Article
123,2008,Article
124,2009,Article
125,2010,Article
126,2014,Article
127,2014,Article
128,2015,Article
129,2015,Article
130,2015,Article
131,NA,Unpublish
132,NA,Unpublish
133,2014,Article
134,2009,Article
135,2007,Article
136,2011,Article
