Main_researcher,publised_year,Species
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Trichothraupis melanops
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Turdus leucomelas
I.de Faria 2008,2008,Haplospiza unicolor
I.de Faria 2008,2008,Haplospiza unicolor
I.de Faria 2008,2008,Haplospiza unicolor
L.Bugoni 2002,2002,Haplospiza unicolor
I.de Faria 2008,2008,Haplospiza unicolor
I.de Faria 2008,2008,Haplospiza unicolor
I.de Faria 2008,2008,Haplospiza unicolor
I.de Faria 2008,2008,Haplospiza unicolor
L.Bugoni 2002,2002,Haplospiza unicolor
I.de Faria 2008,2008,Haplospiza unicolor
I.de Faria 2008,2008,Haplospiza unicolor
I.de Faria 2008,2008,Haplospiza unicolor
L.Bugoni 2002,2002,Haplospiza unicolor
I.de Faria 2008,2008,Haplospiza unicolor
I.de Faria 2008,2008,Haplospiza unicolor
I.de Faria 2008,2008,Haplospiza unicolor
M.Marini 2007,2007,Nyctidromus albicollis
M.Marini 2007,2007,Nyctidromus albicollis
M.Marini 2007,2007,Nyctidromus albicollis
I.de Faria 2008,2008,Platyrinchus mystaceus
L.Bugoni 2002,2002,Platyrinchus mystaceus
I.de Faria 2008,2008,Platyrinchus mystaceus
I.de Faria 2008,2008,Platyrinchus mystaceus
M.Marini 2007,2007,Platyrinchus mystaceus
I.de Faria 2008,2008,Platyrinchus mystaceus
I.de Faria 2008,2008,Platyrinchus mystaceus
I.de Faria 2008,2008,Platyrinchus mystaceus
I.de Faria 2008,2008,Platyrinchus mystaceus
M.Marini 2007,2007,Platyrinchus mystaceus
M.Marini 2007,2007,Platyrinchus mystaceus
I.de Faria 2008,2008,Platyrinchus mystaceus
I.de Faria 2008,2008,Platyrinchus mystaceus
I.de Faria 2008,2008,Platyrinchus mystaceus
I.de Faria 2008,2008,Platyrinchus mystaceus
L.Bugoni 2002,2002,Platyrinchus mystaceus
