publised_year,total_s,total_p
1887,1,1
1927,4,1
1937,23,1
1950,1,1
1954,1,1
1957,10,1
1959,7,1
1960,11,1
1961,17,1
1964,1,1
1965,3,1
1967,3,1
1969,2,1
1971,3,1
1972,7,1
1975,2,2
1976,6,3
1977,1,1
1978,1,1
1980,48,1
1984,1,1
1987,1,1
1989,1,1
1990,9,2
1991,72,3
1992,63,3
1993,19,1
1995,4,2
1996,20,2
1997,76,1
1998,68,2
1999,65,4
2000,40,3
2001,37,3
2002,60,4
2003,102,8
2004,54,11
2005,265,10
2006,380,11
2007,278,11
2008,207,9
2009,16,4
2010,254,9
2011,312,17
2012,485,17
2013,435,20
2014,573,19
2015,254,11
2016,216,23
2017,640,28
2018,539,29
2019,616,45
2020,631,41
