publised_year,total_s,total_p
1887,1,1
1927,4,1
1937,23,1
1945,7,1
1949,72,2
1950,1,1
1954,1,1
1957,10,1
1959,7,1
1960,11,1
1961,17,1
1964,1,1
1965,3,1
1967,3,1
1968,72,1
1969,84,2
1971,3,1
1972,7,1
1975,2,2
1976,6,3
1977,1,1
1978,1,1
1980,48,1
1984,1,1
1986,28,1
1987,1,1
1988,12,1
1989,1,1
1990,34,4
1991,100,5
1992,63,3
1993,23,2
1994,127,4
1995,16,3
1996,59,4
1997,204,6
1998,71,3
1999,165,11
2000,144,12
2001,96,13
2002,177,12
2003,274,15
2004,251,21
2005,412,25
2006,494,25
2007,477,40
2008,575,44
2009,321,36
2010,610,41
2011,730,60
2012,820,51
2013,691,60
2014,928,63
2015,526,36
2016,550,50
2017,957,53
2018,593,34
2019,616,45
2020,631,41
